"area","prefecture","place","img","tag","prefecture_ranking","status_date","status","開花予想日","五分咲き","満開","桜吹雪","見どころ紹介","lat","long","homepage","source_url","例年の見頃","桜の種類","桜の本数","名所に関する情報","お花見期間中の混雑度","所在地","入場時間","入場料","お問い合わせ","交通案内","周辺の観光施設","ライトアップ","桜まつり詳細","おすすめ写真スポット"
"北海道","道南","法亀寺しだれ桜","https://gvs.weathernews.jp/s/sakura/szyimg/2026/23005/1768275155_s.webp?tm=1775113776","夜桜, ライトアップあり","12","","","","","","","樹齢およそ300年と言われる道内最大級のしだれ桜。高さは約12mで枝振りが大変良く、垂れ下がった枝いっぱいに花がつくと大変見応えがあります。","41.8814","140.6381","http://hokutoinfo.com/spot/287/","https://weathernews.jp/sakura/spot/23005/","4月中旬〜5月上旬","シダレザクラ","1本","夜桜
ライトアップあり","平日：やや混雑
休日：大変混雑","〒041-1231
北海道北斗市向野1-14-13","桜回廊期間中のみ","無料","北斗市観光協会
TEL:0138-77-5011","電車
JR新函館北斗駅から車で約
10分
JR函館駅から車で約
35分
車
函館江差自動車道北斗中央ICから約
8分
駐車場
なし","きじひき高原、国指定史跡松前藩戸切地陣屋跡、八郎沼公園","あり(18:30〜21:00)","",""
"北海道","道南","松前藩戸切地陣屋跡桜並木トンネル","https://gvs.weathernews.jp/s/sakura/szyimg/2026/23004/1768358657_s.webp?tm=1775113776","桜まつり開催, 桜並木","11","4月2日の推定状況","つぼみ","4月16日","4月20日","4月20日","4月26日","陣屋跡へ続く約800mの桜並木トンネルが空を覆うように咲き誇ります。陣屋前の広場には上磯海潮桜や十月桜、御衣黄などの珍しい桜が植えられています。","41.8542","140.6194","http://hokutoinfo.com/spot/138/","https://weathernews.jp/sakura/spot/23004/","4月下旬～5月中旬","ソメイヨシノ","約340本","桜まつり開催
桜並木","平日：やや混雑
休日：混雑","〒049-0158
北海道北斗市野崎","24時間","無料","北斗市観光協会
TEL:0138-77-5011","電車
JR新函館北斗駅から車で約
20分
函館駅から約
28分
車
函館江差自動車道北斗中央ICから約
6分
駐車場
300台(無料)","きじひき高原。八郎沼公園","","",""
"北海道","道南","うらかわ千本桜 優駿さくらロード","https://gvs.weathernews.jp/s/sakura/szyimg/2026/22001/1770626929_s.webp?tm=1775113776","夜桜, 桜まつり開催, 桜並木, ライトアップあり","13","1月29日","つぼみ","","","","","","42.1824","142.8508","https://sakura.urakawa-tabi.com/","https://weathernews.jp/sakura/spot/22001/","4月下旬〜5月上旬","エゾヤマザクラ","1000本","夜桜
桜まつり開催
桜並木
ライトアップあり","平日：やや混雑
休日：混雑","〒057-0171
北海道浦河郡浦河町西舎","24時間","無料","浦河観光協会
TEL:0146-22-3200","車
日高厚賀ICから約90分
駐車場
370台(無料)","","開花の期間中 18:30～21:00 優駿さくらロード ライトアップ","2026年4月下旬～5月上旬 優駿の里 浦河桜まつり（問合せ先：一般社団法人 浦河観光協会0146-22-3200）",""
"北海道","道東","緑ヶ丘公園","https://gvs.weathernews.jp/s/sakura/szyimg/2026/2001/1768348425_s.webp?tm=1775113776","桜並木","14","1月29日","つぼみ","4月23日","4月25日","4月26日","5月1日","園内に博物館や動物園、美術館、児童会館などの施設のほか、1200人が一度に座れる圧巻の400mのベンチを備える市内最大級の公園です。園内各所、とくに全長300mの「彫刻の径」を散策しての観桜は見ごたえがあります。このほか、グリーンパーク西側の「まっすぐの径」でも桜並木をお楽しみいただけます。","42.9050","143.1873","https://green-flower.digick.jp/","https://weathernews.jp/sakura/spot/2001/","5月上旬","エゾヤマザクラ","780本","桜並木","平日：やや混雑
休日：大変混雑","〒080-0846
北海道帯広市字緑ヶ丘2","制限なし","公園(無料)、施設(有料)","みどりと花のセンター
TEL:0155-21-3172","電車
JR帯広駅より拓殖バス緑ヶ丘6丁目下車
5分
車
R38を帯広方面へ、西五条近辺で「美術館」「動物園」の標識方向へ
15分
駐車場
約750台(無料)","みどりと花のセンター、動物園、児童会館、百年記念館、美術館、野草園、グリーンパーク","","",""
"北海道","道南","登別桜並木","https://gvs.weathernews.jp/s/sakura/szyimg/2026/1404/1768543280_s.webp?tm=1775113776","桜並木, ペットOK","16","1月29日","つぼみ","4月24日","4月27日","4月28日","5月3日","JR登別駅から登別温泉まで、8kmの沿道に並んだ約2000本のエゾヤマザクラが来訪者を歓迎します。一部は「花のトンネル」の愛称で親しまれています。","42.4665","141.1671","http://www.noboribetsu-spa.jp/","https://weathernews.jp/sakura/spot/1404/","5月上旬","エゾヤマザクラ","2000本","桜並木
ペットOK","平日：空いている
休日：やや混雑","〒059-0463
北海道登別市中登別町","制限なし","なし","登別国際観光コンベンション協会
TEL:0143-84-3311","電車
JR室蘭本線登別駅よりバスで
5分
車
道央道登別東ICより
0分
駐車場
桜ざか駐車公園利用可（10台程度）","登別地獄谷、登別マリンパークニクス、登別伊達時代村、のぼりべつクマ牧場","","",""
"北海道","道南","大野川沿い桜並木","https://gvs.weathernews.jp/s/sakura/szyimg/2026/23006/1768274891_s.webp?tm=1775113776","夜桜, 桜まつり開催, 桜並木, ライトアップあり","15","4月2日の推定状況","つぼみ","4月17日","4月20日","4月21日","4月27日","大野川に沿ってソメイヨシノを中心とした、およそ100本の桜並木があります。この桜は昭和34年(1959年)、当時の皇太子殿下のご成婚を記念して植樹されました。川のせせらぎを聞きながらゆっくりと300mの桜並木を楽しめます。","41.8858","140.6386","http://hokutoinfo.com/spot/27/","https://weathernews.jp/sakura/spot/23006/","4月下旬〜5月上旬","ソメイヨシノ","約100本","夜桜
桜まつり開催
桜並木
ライトアップあり","平日：やや混雑
休日：大変混雑","〒041-1201
北斗市本町2丁目、4丁目","24時間","無料","北斗市観光協会
TEL:0138-77-5011","電車
JR新函館北斗駅から車で約
10分
JR函館駅から車で約
35分","きじひき高原、国指定史跡松前藩戸切地陣屋跡、八郎沼公園","あり（18:30～21:00）","",""
"北海道","道北","旭山公園","https://smtgvs.cdn.weathernews.jp/smart/report/image/2024-05-12/83989974.jpg","夜桜, ライトアップあり","18","4月2日","つぼみ","4月27日","5月1日","5月2日","5月6日","桜の名所として知られ、約3500本のサクラやカタクリなどの花が目を楽しませてくれます。※公園に隣接して旭山動物園があり、公園内にある旭山三浦庭園(有料)と連絡通路により行き来が可能です。また、5月中はお花見期間として、公園内での火気の使用が認められ、バーベキューや焼き肉なども楽しめます。","43.7657","142.4759","https://www.asahikawa-park.or.jp","https://weathernews.jp/sakura/spot/1204/","5月上旬","エゾヤマザクラ","3500本","夜桜
ライトアップあり","平日：空いている
休日：やや混雑","〒078-8205
北海道旭川市東旭川町倉沼","制限なし","無料","(公財)旭川市公園緑地協会
TEL:0166-52-1934","電車
JR旭川駅バスのりば⑥より旭山動物園線乗車、旭山動物園下車
40分
車
道央道旭川北ICより鷹栖東神楽線経由　約10km
20分
駐車場
正面入口125台　無料（旭山公園及び旭山三浦庭園、旭山動物園利用者と共同）","旭山動物園、旭山三浦庭園","開花期間に合わせて","",""
"北海道","道北","朝日ヶ丘公園","https://smtgvs.cdn.weathernews.jp/smart/report/image/2025-05-06/96912271.jpg","夜桜","17","2月13日","つぼみ","4月30日","5月3日","5月4日","5月9日","春はエゾヤマザクラ、ツツジが咲き、空知川、大雪山系、十勝岳連峰をのぞむ眺めが絶景です。日本百景の1つにもなっています。樹々の間から富良野盆地を一望できます。","43.3406","142.3693","","https://weathernews.jp/sakura/spot/5/","5月上旬","エゾヤマザクラ","約3000本","夜桜","平日：やや混雑
休日：やや混雑","〒076-0017
北海道富良野市下御料","制限なし","なし","富良野市役所商工観光課
TEL:0167-39-2312","電車
JR根室本線富良野駅より車で
10分
車
道央道三笠ICより富芦道路経由で
60分
駐車場
20台(無料)","風のガーデン、森の時計、ニングルテラス(いずれも新富良野プリンスホテル内、富良野市中御料)","","",""
"北海道","道北","稚内公園","https://smtgvs.cdn.weathernews.jp/smart/report/image/2015-05-05/25698392.jpg","夜桜","19","1月29日","つぼみ","5月4日","5月7日","5月8日","5月14日","","45.4175","141.6678","http://www.city.wakkanai.hokkaido.jp/","https://weathernews.jp/sakura/spot/1102/","5月中旬","エゾヤマザクラ","約60本","夜桜","平日：空いている
休日：空いている","〒097-0022
北海道稚内市ヤムワッカナイ","","","稚内市建設産業部都市整備課
TEL:0162-23-6460","電車
JR稚内駅より徒歩
30分
車
JR稚内駅より車で
5分
駐車場
50台(無料)","開基百年記念塔、氷雪の門(稚内公園内)","","",""
"北海道","道東","北見フラワーパラダイス","https://smtgvs.cdn.weathernews.jp/smart/report/image/2025-05-07/96949117.jpg","桜並木","20","1月29日","つぼみ","5月3日","5月5日","5月7日","5月14日","28ヘクタールにもおよぶ、広大な山一面に、世界の花85種が植えられています。5月上旬には、エゾヤマザクラ、エゾムラサキツツジなどが見頃を迎えます。","43.7915","143.9267","http://zouenktm.sakura.ne.jp/","https://weathernews.jp/sakura/spot/1704/","5月上旬","エゾヤマザクラ","400本","桜並木","平日：空いている
休日：やや混雑","〒090-0808
北海道北見市若松41番地2","4月29日〜10月31日(車両通行可能期間は4月29日～5月31日)","無料","北見市役所公園緑地課
TEL:0157-25-1139","車
市内から北見バス利用、市内〜若松線(コミュニティバスになり予約が必要)フラワーパラダイス前下車
1分
市内から車で
12分
駐車場
約50台(無料)","北見ファミリーランド(遊園地、若松638番地)","","",""
"東北","青森","弘前公園","https://gvs.weathernews.jp/s/sakura/szyimg/2026/17/1768274793_s.webp?tm=1775113776","さくら名所100選, 夜桜, 桜まつり開催, 桜並木, 宴会OK, ライトアップあり","1","3月27日","つぼみ","4月9日","4月13日","4月15日","4月19日","弘前城跡が公園になったもので、日本最古級のソメイヨシノ(青森県指定天然記念物・樹齢145年)や幹回りが日本一太いソメイヨシノ(環境省巨樹・巨木林データベース登録：582㎝)があります。また、弘前発祥の八重桜『弘前雪明かり』などソメイヨシノに続いて咲きはじめる桜が40品種約700本あり、その桜の中から厳選７品種の八重桜を『弘前七桜』と名付け、ソメイヨシノから始まる桜の見頃のリレーを楽しむことができます。","40.6077","140.4642","https://www.hirosaki-kanko.or.jp","https://weathernews.jp/sakura/spot/17/","4月中旬〜5月上旬","ソメイヨシノ、枝垂桜、八重桜","約2600本","さくら名所100選
夜桜
桜まつり開催
桜並木
宴会OK
ライトアップあり","平日：やや混雑
休日：混雑","〒036-8356
青森県弘前市下白銀町1-1","制限なし","本丸・北の郭(4/1〜11/23・9:00〜17:00)、植物園(4/中旬〜11/23・9:00〜17:00)、さくらまつり期間(4/18〜5/5)は本丸・北の郭9:00〜21:00。各施設大人320円、小人100円。3施設共通券大人520円、小人160円。","弘前市立観光館
TEL:0172-37-5501","電車
JR奥羽本線弘前駅よりバスで市役所前公園入口下車
20分
JR奥羽本線弘前駅より徒歩
30分
車
東北道大鰐弘前ICより
25分
駐車場
岩木川臨時無料駐車場(2か所、約1000台)、公園周辺に有料駐車場多数あり","藤田記念庭園(3施設共通券対象施設)、弘前市立観光館、津軽藩ねぷた村、弘前れんが倉庫美術館、まちなか情報センター、りんご公園、長勝寺、最勝院五重塔など多数","桜の開花に合わせて・日没〜23:00(時間変更あり)","弘前さくらまつり：令和8年4月17日(金)〜令和8年5月5日(火・祝)　桜の開花に合わせて変更あり。","●「弘前桜七景」（ひろさきさくらしちけい）弘前公園内の桜の見どころの中から、桜守が厳選７か所の景色を紹介します。［景色①］　弘前公園最長寿のソメイヨシノ［景色②］桜のハート［景色③］春陽橋［景色④］桜のトンネル［景色⑤］花筏［景色⑥］弘前城天守と八重紅枝垂［景色⑦］関山のトンネル"
"東北","青森","十和田市官庁街通り","https://gvs.weathernews.jp/s/sakura/szyimg/2026/3103/1766537035_s.webp?tm=1775113776","夜桜, 桜まつり開催, 桜並木, 宴会OK, ペットOK, ライトアップあり","4","3月31日","つぼみ","4月12日","4月15日","4月16日","4月20日","「日本の道・100選」にも選ばれた、桜の名所です。桜の本数は156本、隣接する中央公園と合わせると300本以上になります。見頃時期にあわせて「十和田市春まつり」も開催されます。","40.6124","141.2064","https://towada-harumatsuri.info/","https://weathernews.jp/sakura/spot/3103/","4月中旬〜5月上旬","ソメイヨシノ","156本","夜桜
桜まつり開催
桜並木
宴会OK
ペットOK
ライトアップあり","平日：やや混雑
休日：やや混雑","〒034-0093
青森県十和田市西二番町、西三番町、西十二番町、西十三番町","制限なし","無料","十和田奥入瀬観光機構
TEL:0176-24-3006","電車
（バスで）七戸十和田駅
40分
車
百石道路下田百石IC
30分
駐車場
790台(200円)","十和田市馬事公苑「駒っこランド」、手づくり村「鯉艸郷(りそうきょう)」、十和田市現代美術館、十和田市観光物産センター、匠工房(南部裂織体験)、道の駅とわだ「とわだぴあ」","桜の開花に合わせて実施","「十和田市春まつり」が4月中旬〜5月上旬に開催される予定です。桜並木の下で、女性騎士のみが参加できる全国で唯一の大会「桜流鏑馬」が、まつり会期内に開催される予定です。","十和田市役所本館展望テラス、アート広場、十和田市民図書館、青森県十和田合同庁舎前"
"東北","青森","岩木山の桜並木","https://gvs.weathernews.jp/s/sakura/szyimg/2026/31005/1769486303_s.webp?tm=1775113776","桜並木","3","3月31日","つぼみ","","","","","岩木山の桜並木は通称「世界一の桜並木」とも呼ばれます。旧岩木町(現在は弘前市と合併)の時代、1985年(昭和60年)から10年をかけて「世界一の桜並木を！」をキャッチフレーズに、全長約20km・約6500本のオオヤマザクラが植樹されました。今では春の岩木山の名物として、毎年多くの人が訪れています。途中にある岩木山総合公園や津軽岩木スカイラインの付近では、桜のトンネルを見ることができます。また、桜並木からほど近い場所にありソメイヨシノが咲き渡る「桜林公園」や、湯段温泉の近くにある「ミズバショウ沼公園」も人気です。","40.6108","140.3036","https://iwakisan.com/prunus-sargentii/","https://weathernews.jp/sakura/spot/31005/","4月中旬～4月下旬","オオヤマザクラ","6500本(植樹当時の実績)","桜並木","平日：空いている
休日：やや混雑","","","","岩木山観光協会
TEL:0172-83-3000","電車
【百沢エリア】JR弘前駅から弘南バス(岳温泉線)で約45分、岩木山総合公園前バス停下車
車
大鰐弘前I.C
50分
駐車場
シーズン中は岩木山総合公園・サッカー場駐車場開放(バス可)","津軽岩木スカイライン、嶽温泉、百沢温泉、岩木山神社、直売所 野市里(のいちご)","","","岩木山総合公園付近（桜のトンネル）岩木スカイライン入口ゲート向かい（桜のトンネル）県道3号線沿い"
"東北","青森","合浦公園","https://smtgvs.cdn.weathernews.jp/smart/report/image/2025-04-23/96462646.jpg","夜桜, 桜まつり開催, 宴会OK, ライトアップあり","6","3月26日","つぼみ","4月12日","4月15日","4月16日","4月22日","海に面した公園です。野木和公園と合わせて、春まつり(4月中旬〜下旬予定。3月頃決定)が行われます。ソメイヨシノは555本、ヤエベニシダレザクラは25本、カンザン5本、オオシマザクラ8本、カンヒザクラ5本、ウコン4本、ジュウガツザクラ3本、イトシダレ2本、ベニユタカ3本、フゲンゾウ12本、コウカ7本、イチョウ1本、オオヤマザクラ3本あります。","40.8296","140.7799","","https://weathernews.jp/sakura/spot/15/","4月中旬～下旬","ソメイヨシノ、シダレザクラ、サトザクラ、オオヤマザクラ","630本","夜桜
桜まつり開催
宴会OK
ライトアップあり","平日：空いている
休日：やや混雑","〒030-0902
青森県青森市合浦2丁目86外26筆","制限なし","無料","特定非営利活動法人パークメンテ青い森グループ
TEL:017-741-6634","電車
JR青森駅より東部営業所行きバスで合浦公園前下車
20分
車
東北道青森中央ICよりR4近く
15分
駐車場
166台(無料、ただし春まつり期間中は有料) 、臨時駐車場500台","","春まつり期間中ぼんぼり点灯・18:00〜21:30","春まつり(未定)4月19日あおもり桜マラソン",""
"東北","青森","芦野公園","https://gvs.weathernews.jp/s/sakura/szyimg/2026/13/1767674396_s.webp?tm=1775113776","さくら名所100選, 夜桜, 桜まつり開催, 桜並木, 駅チカ, 宴会OK, ペットOK, ライトアップあり","2","3月31日","つぼみ","4月11日","4月15日","4月16日","4月21日","津軽半島随一の桜の名所。ソメイヨシノやシダレザクラがあります。さくらの名所100選に選ばれています。芦野湖をぐるっと一周できる散策コース（約40分）は、心地よい湖畔の風と桜のほのかな香り・優しい色彩で、日常を忘れてしまうような体験が出来る場所です。","40.9136","140.4517","https://r.goope.jp/kanagi/","https://weathernews.jp/sakura/spot/13/","4月中旬～4月下旬","ソメイヨシノ","約1500本","さくら名所100選
夜桜
桜まつり開催
桜並木
駅近
宴会OK
ペットOK
ライトアップあり","平日：やや混雑
休日：混雑","〒037-0202
青森県五所川原市金木町芦野","制限なし","無料","金木桜まつり実行委員会
TEL:0173-52-2611","電車
津軽鉄道芦野公園駅より
1分
車
東北道浪岡ICより津軽道五所川原北からR339号経由
40分
駐車場
約600台(さくらまつり期間中のみ有料、大型バス駐車場あり）。","太宰治記念館「斜陽館」、津軽三味線会館、太宰疎開の家","18:00~21:00","金木桜まつり　2026年4月23日～29日花火大会開催予定",""
